w1	w2	count	mle_p	add1_p	add0.5_p	token_type_score
છે	.	35	0.68627451	0.03797468	0.07107107	36.0000
છે	,	9	0.17647059	0.01054852	0.01901902	10.0000
.	આ	6	0.06122449	0.00703518	0.01189387	7.0000
શકે	છે	5	0.83333333	0.00664452	0.01210121	7.0000
હતા	.	5	0.83333333	0.00664452	0.01210121	6.0000
હતો	.	5	0.62500000	0.00662983	0.01204819	6.0000
કર્યું	હતું	4	0.66666667	0.00553710	0.00990099	8.0000
જૂના	માણસ	4	1.00000000	0.00554939	0.00994475	8.0000
રૂા	.	4	1.00000000	0.00554939	0.00994475	5.0000
હતું	.	4	0.50000000	0.00552486	0.00985761	5.0000
,	અને	3	0.06382979	0.00423729	0.00706357	6.0000
.	તેમણે	3	0.03061224	0.00402010	0.00640439	7.0000
આવે	છે	3	0.75000000	0.00443951	0.00773481	5.0000
માટે	,	3	0.16666667	0.00437158	0.00750268	4.0000
હતું	કે	3	0.37500000	0.00441989	0.00766703	5.0000
,	તેમણે	2	0.04255319	0.00317797	0.00504541	6.0000
.	એસ	2	0.02040816	0.00301508	0.00457457	4.0000
.	કેન્દ્રીય	2	0.02040816	0.00301508	0.00457457	10.0000
.	જેને	2	0.02040816	0.00301508	0.00457457	5.0000
.	પછી	2	0.02040816	0.00301508	0.00457457	5.0000
.	બી	2	0.02040816	0.00301508	0.00457457	4.0000
.	સી	2	0.02040816	0.00301508	0.00457457	4.0000
અનાવરણ	કર્યું	2	1.00000000	0.00333704	0.00554939	8.0000
આ	આરોપી	2	0.09523810	0.00326797	0.00532481	7.0000
આ	કેદીઓને	2	0.09523810	0.00326797	0.00532481	8.0000
આપે	છે	2	1.00000000	0.00333704	0.00554939	4.0000
આરોપી	ને	2	0.66666667	0.00333333	0.00553710	4.0000
આવશે	.	2	1.00000000	0.00333704	0.00554939	3.0000
આવી	છે	2	0.66666667	0.00333333	0.00553710	4.0000
આવ્યા	અને	2	0.66666667	0.00333333	0.00553710	5.0000
ઉપયોગી	છે	2	1.00000000	0.00333704	0.00554939	4.0000
એલ	.	2	1.00000000	0.00333704	0.00554939	3.0000
એસ	.	2	0.66666667	0.00333333	0.00553710	3.0000
કરવામાં	આવશે	2	0.40000000	0.00332594	0.00551268	6.0000
કરી	શકે	2	0.66666667	0.00333333	0.00553710	5.0000
કાર	વીમા	2	1.00000000	0.00333704	0.00554939	6.0000
કારણે	તેમની	2	0.50000000	0.00332963	0.00552486	7.0000
કે	આ	2	0.18181818	0.00330396	0.00544070	3.0000
કે	તેઓ	2	0.18181818	0.00330396	0.00544070	5.0000
છે	કે	2	0.03921569	0.00316456	0.00500501	4.0000
ઝડપી	પાડવા	2	0.66666667	0.00333333	0.00553710	6.0000
ડી	.	2	0.50000000	0.00332963	0.00552486	3.0000
તા	.	2	1.00000000	0.00333704	0.00554939	3.0000
તેમની	અંદર	2	0.66666667	0.00333333	0.00553710	6.0000
થશે	.	2	1.00000000	0.00333704	0.00554939	3.0000
દારૃનો	જથ્થો	2	0.66666667	0.00333333	0.00553710	6.0000
ન	હતી	2	1.00000000	0.00333704	0.00554939	5.0000
ના	રોજ	2	0.40000000	0.00332594	0.00551268	5.0000
ને	આ	2	0.33333333	0.00332226	0.00550055	3.0000
ને	ઝડપી	2	0.33333333	0.00332226	0.00550055	6.0000
પાડવા	માટે	2	1.00000000	0.00333704	0.00554939	6.0000
પી	.	2	0.50000000	0.00332963	0.00552486	3.0000
બી	.	2	1.00000000	0.00333704	0.00554939	3.0000
ભથ્થું	,	2	1.00000000	0.00333704	0.00554939	3.0000
ભયના	કારણે	2	1.00000000	0.00333704	0.00554939	7.0000
માટે	નર્મદા	2	0.11111111	0.00327869	0.00535906	8.0000
યાત્રા	દરમિયાન	2	0.66666667	0.00333333	0.00553710	9.0000
રહેશે	.	2	0.50000000	0.00332963	0.00552486	3.0000
લાગે	છે	2	1.00000000	0.00333704	0.00554939	4.0000
શરૂ	કર્યું	2	0.66666667	0.00333333	0.00553710	8.0000
સી	.	2	1.00000000	0.00333704	0.00554939	3.0000
હતી	.	2	0.40000000	0.00332594	0.00551268	3.0000
!	કોઈ	1	0.50000000	0.00222469	0.00332963	4.0000
!	નર્મદા	1	0.50000000	0.00222469	0.00332963	7.0000
,	2008	1	0.02127660	0.00211864	0.00302725	4.0000
,	Deep@Gmi.com	1	0.02127660	0.00211864	0.00302725	11.0000
,	https://hello.com	1	0.02127660	0.00211864	0.00302725	13.0000
,	અઠવાડિયામાં	1	0.02127660	0.00211864	0.00302725	10.0000
,	અથવા	1	0.02127660	0.00211864	0.00302725	5.0000
,	અમને	1	0.02127660	0.00211864	0.00302725	5.0000
,	આણંદ	1	0.02127660	0.00211864	0.00302725	5.0000
,	ઉદાહરણ	1	0.02127660	0.00211864	0.00302725	7.0000
,	એ	1	0.02127660	0.00211864	0.00302725	2.0000
,	એમ	1	0.02127660	0.00211864	0.00302725	3.0000
,	ગાંધીનગર	1	0.02127660	0.00211864	0.00302725	8.0000
,	ગોધરા	1	0.02127660	0.00211864	0.00302725	6.0000
,	ચેતનભાઇ	1	0.02127660	0.00211864	0.00302725	8.0000
,	ચોરી	1	0.02127660	0.00211864	0.00302725	5.0000
,	જણાવ્યું	1	0.02127660	0.00211864	0.00302725	9.0000
,	જૂના	1	0.02127660	0.00211864	0.00302725	5.0000
,	જે	1	0.02127660	0.00211864	0.00302725	3.0000
,	જ્યાંથી	1	0.02127660	0.00211864	0.00302725	8.0000
,	તેઓ	1	0.02127660	0.00211864	0.00302725	4.0000
,	તેને	1	0.02127660	0.00211864	0.00302725	4.0000
,	તેમાં	1	0.02127660	0.00211864	0.00302725	6.0000
,	ત્યારે	1	0.02127660	0.00211864	0.00302725	7.0000
,	ત્રિપુરા	1	0.02127660	0.00211864	0.00302725	8.0000
,	દિલીપ	1	0.02127660	0.00211864	0.00302725	6.0000
,	નડિયાદ	1	0.02127660	0.00211864	0.00302725	7.0000
,	નાગાલેન્ડ	1	0.02127660	0.00211864	0.00302725	8.0000
,	નેતાઓ	1	0.02127660	0.00211864	0.00302725	6.0000
,	પંપનું	1	0.02127660	0.00211864	0.00302725	5.0000
,	પ્રોવિડન્ટ	1	0.02127660	0.00211864	0.00302725	10.0000
,	પ્લેટ	1	0.02127660	0.00211864	0.00302725	6.0000
,	બે	1	0.02127660	0.00211864	0.00302725	3.0000
,	માત્ર	1	0.02127660	0.00211864	0.00302725	6.0000
,	મિલનભાઇ	1	0.02127660	0.00211864	0.00302725	8.0000
,	વિનોદ	1	0.02127660	0.00211864	0.00302725	6.0000
,	વિપક્ષના	1	0.02127660	0.00211864	0.00302725	9.0000
,	વેરા	1	0.02127660	0.00211864	0.00302725	5.0000
,	વ્યક્તિગત	1	0.02127660	0.00211864	0.00302725	8.0000
,	શહેર	1	0.02127660	0.00211864	0.00302725	5.0000
,	સગર્ભા	1	0.02127660	0.00211864	0.00302725	7.0000
,	સમજશક્તિ	1	0.02127660	0.00211864	0.00302725	9.0000
,	સાંજે	1	0.02127660	0.00211864	0.00302725	6.0000
,	હાલોલ	1	0.02127660	0.00211864	0.00302725	5.0000
.	48.	1	0.01020408	0.00201005	0.00274474	4.0000
.	અઠવાડિયાના	1	0.01020408	0.00201005	0.00274474	9.0000
.	અવાજ	1	0.01020408	0.00201005	0.00274474	5.0000
.	અહીંયાં	1	0.01020408	0.00201005	0.00274474	7.0000
.	આઇ	1	0.01020408	0.00201005	0.00274474	3.0000
.	આબુથી	1	0.01020408	0.00201005	0.00274474	6.0000
.	આમ	1	0.01020408	0.00201005	0.00274474	3.0000
.	આરોપી	1	0.01020408	0.00201005	0.00274474	6.0000
.	આવા	1	0.01020408	0.00201005	0.00274474	4.0000
.	ઉખાણાઓ	1	0.01020408	0.00201005	0.00274474	6.0000
.	એલ	1	0.01020408	0.00201005	0.00274474	3.0000
.	કર્ક	1	0.01020408	0.00201005	0.00274474	4.0000
.	કાગદડી	1	0.01020408	0.00201005	0.00274474	7.0000
.	કાર	1	0.01020408	0.00201005	0.00274474	4.0000
.	કારણ	1	0.01020408	0.00201005	0.00274474	5.0000
.	કેટલાક	1	0.01020408	0.00201005	0.00274474	6.0000
.	કોર્ટે	1	0.01020408	0.00201005	0.00274474	7.0000
.	ખાસ	1	0.01020408	0.00201005	0.00274474	4.0000
.	ખુબજ	1	0.01020408	0.00201005	0.00274474	5.0000
.	ગાર્ગી	1	0.01020408	0.00201005	0.00274474	6.0000
.	ગ્રો	1	0.01020408	0.00201005	0.00274474	5.0000
.	જૂના	1	0.01020408	0.00201005	0.00274474	5.0000
.	જોકે	1	0.01020408	0.00201005	0.00274474	5.0000
.	જ્યારે	1	0.01020408	0.00201005	0.00274474	7.0000
.	ડી	1	0.01020408	0.00201005	0.00274474	3.0000
.	તમારા	1	0.01020408	0.00201005	0.00274474	5.0000
.	તે	1	0.01020408	0.00201005	0.00274474	3.0000
.	તેઓ	1	0.01020408	0.00201005	0.00274474	4.0000
.	તેના	1	0.01020408	0.00201005	0.00274474	5.0000
.	તેમજ	1	0.01020408	0.00201005	0.00274474	5.0000
.	ત્યાં	1	0.01020408	0.00201005	0.00274474	6.0000
.	ત્યારબાદ	1	0.01020408	0.00201005	0.00274474	8.0000
.	દબાણના	1	0.01020408	0.00201005	0.00274474	6.0000
.	દેશના	1	0.01020408	0.00201005	0.00274474	6.0000
.	ધન	1	0.01020408	0.00201005	0.00274474	3.0000
.	ધારાસભ્ય	1	0.01020408	0.00201005	0.00274474	8.0000
.	નમૂનારૂપ	1	0.01020408	0.00201005	0.00274474	7.0000
.	ના	1	0.01020408	0.00201005	0.00274474	3.0000
.	પણ	1	0.01020408	0.00201005	0.00274474	3.0000
.	પી	1	0.01020408	0.00201005	0.00274474	3.0000
.	પુરાવા	1	0.01020408	0.00201005	0.00274474	6.0000
.	પુરું	1	0.01020408	0.00201005	0.00274474	5.0000
.	પ્રણવ	1	0.01020408	0.00201005	0.00274474	6.0000
.	બદલામાં	1	0.01020408	0.00201005	0.00274474	7.0000
.	બાળ	1	0.01020408	0.00201005	0.00274474	4.0000
.	ભાજપના	1	0.01020408	0.00201005	0.00274474	6.0000
.	મિશિગનના	1	0.01020408	0.00201005	0.00274474	7.0000
.	મોરબીના	1	0.01020408	0.00201005	0.00274474	8.0000
.	યાત્રા	1	0.01020408	0.00201005	0.00274474	6.0000
.	યુનાઇટેડ	1	0.01020408	0.00201005	0.00274474	9.0000
.	રપ	1	0.01020408	0.00201005	0.00274474	3.0000
.	રર	1	0.01020408	0.00201005	0.00274474	2.0000
.	રાજપીપળા	1	0.01020408	0.00201005	0.00274474	7.0000
.	રાજસ્થાનના	1	0.01020408	0.00201005	0.00274474	8.0000
.	રાજ્યના	1	0.01020408	0.00201005	0.00274474	7.0000
.	રાષ્ટ્રપતિએ	1	0.01020408	0.00201005	0.00274474	10.0000
.	રિજેક્શનના	1	0.01020408	0.00201005	0.00274474	10.0000
.	વલણ	1	0.01020408	0.00201005	0.00274474	4.0000
.	વસાવા	1	0.01020408	0.00201005	0.00274474	4.0000
.	વા	1	0.01020408	0.00201005	0.00274474	3.0000
.	વીણાએ	1	0.01020408	0.00201005	0.00274474	6.0000
.	સંમત	1	0.01020408	0.00201005	0.00274474	5.0000
.	સગર્ભાવસ્થામાં	1	0.01020408	0.00201005	0.00274474	11.0000
.	સજ્જન	1	0.01020408	0.00201005	0.00274474	5.0000
.	સદ્ગતનું	1	0.01020408	0.00201005	0.00274474	9.0000
.	સરકાર	1	0.01020408	0.00201005	0.00274474	5.0000
.	સહીત	1	0.01020408	0.00201005	0.00274474	5.0000
.	સૌથી	1	0.01020408	0.00201005	0.00274474	5.0000
.	હાઈકોર્ટના	1	0.01020408	0.00201005	0.00274474	10.0000
.	હીટિંગ	1	0.01020408	0.00201005	0.00274474	7.0000
.	હોટ	1	0.01020408	0.00201005	0.00274474	4.0000
.	૧.	1	0.01020408	0.00201005	0.00274474	3.0000
.	૧૦.	1	0.01020408	0.00201005	0.00274474	4.0000
.	૧૫.	1	0.01020408	0.00201005	0.00274474	4.0000
.	૭	1	0.01020408	0.00201005	0.00274474	2.0000
.	૮.	1	0.01020408	0.00201005	0.00274474	3.0000
...	આપણાં	1	0.50000000	0.00222469	0.00332963	6.0000
...	ઉત્તર	1	0.50000000	0.00222469	0.00332963	5.0000
10	વર્ષના	1	1.00000000	0.00222717	0.00333704	7.0000
100	લોડ	1	1.00000000	0.00222717	0.00333704	4.0000
2008	માં	1	1.00000000	0.00222717	0.00333704	4.0000
