w1	w2	w3	w4	count	p_cond
.	સી	.	બી	2	1.00000000
આ	આરોપી	ને	ઝડપી	2	1.00000000
આરોપી	ને	ઝડપી	પાડવા	2	1.00000000
એલ	.	સી	.	2	1.00000000
ને	ઝડપી	પાડવા	માટે	2	1.00000000
ભયના	કારણે	તેમની	અંદર	2	1.00000000
સી	.	બી	.	2	1.00000000
!	કોઈ	કંપની	તેઓ	1	1.00000000
!	નર્મદા	જીલ્લાના	ડેડીયાપાડા	1	1.00000000
,	2008	માં	અપરાધ	1	1.00000000
,	Deep@Gmi.com	,	https://hello.com	1	1.00000000
,	https://hello.com	તેવાં	પ્રાણીઓનાં	1	1.00000000
,	અઠવાડિયામાં	એક	વખત	1	1.00000000
,	અથવા	કલાક	દીઠ	1	1.00000000
,	અને	બે	યુવાન	1	1.00000000
,	અને	વજન	ઘટાડવા	1	1.00000000
,	અને	શું	અમિતાભ	1	1.00000000
,	અમને	આસપાસ	મન	1	1.00000000
,	આણંદ	,	નડિયાદ	1	1.00000000
,	ઉદાહરણ	તરીકે	,	1	1.00000000
,	એ	જોવું	રસપ્રદ	1	1.00000000
,	એમ	અમેરિકાની	વૈશ્વિક	1	1.00000000
,	ગાંધીનગર	અને	અમદાવાદમાં	1	1.00000000
,	ગોધરા	,	આણંદ	1	1.00000000
,	ચેતનભાઇ	ના	પિતાશ્રીનું	1	1.00000000
,	ચોરી	વસ્તુઓ	પરત	1	1.00000000
,	જણાવ્યું	હતું	કે	1	1.00000000
,	જૂના	માણસ	તેના	1	1.00000000
,	જે	100	લોડ	1	1.00000000
,	જ્યાંથી	અમદાવાદ	તેમજ	1	1.00000000
,	તેઓ	તેને	સારવાર	1	1.00000000
,	તેને	જોવા	માટે	1	1.00000000
,	તેમણે	તે	સારું	1	1.00000000
,	તેમણે	વચન	આપ્યું	1	1.00000000
,	તેમાં	એ	બીજા	1	1.00000000
,	ત્યારે	બીજી	તરફ	1	1.00000000
,	ત્રિપુરા	,	નાગાલેન્ડ	1	1.00000000
,	દિલીપ	અને	રબારી	1	1.00000000
,	નડિયાદ	અને	વડોદરા	1	1.00000000
,	નાગાલેન્ડ	અને	મેઘાલયમાં	1	1.00000000
,	નેતાઓ	તો	તમાશો	1	1.00000000
,	પંપનું	જૂથ	સ્થાપિત	1	1.00000000
,	પ્રોવિડન્ટ	ફંડ	અને	1	1.00000000
,	પ્લેટ	હીટ	એક્સ્ચેન્જર	1	1.00000000
,	બે	તબક્કા	છે	1	1.00000000
,	માત્ર	સુપર	મોડલ	1	1.00000000
,	મિલનભાઇ	હરીશભાઇ	માવાણીએ	1	1.00000000
,	વિનોદ	,	દિલીપ	1	1.00000000
,	વિપક્ષના	સરકાર	પર	1	1.00000000
,	વેરા	વધારવા	બાબતે	1	1.00000000
,	વ્યક્તિગત	ઉષ્ણતા	બિંદુ	1	1.00000000
,	શહેર	ભથ્થું	,	1	1.00000000
,	સગર્ભા	સ્ત્રીઓ	અને	1	1.00000000
,	સમજશક્તિ	,	અમને	1	1.00000000
,	સાંજે	ચા	અને	1	1.00000000
,	હાલોલ	,	ગોધરા	1	1.00000000
.	48.	જેમના	કાન	1	1.00000000
.	અઠવાડિયાના	અંતે	કોઈ	1	1.00000000
.	અવાજ	સુનાવણી	,	1	1.00000000
.	અહીંયાં	આપણે	કઈ	1	1.00000000
.	આ	અઠવાડિયે	ખર્ચો	1	1.00000000
.	આ	આંકડો	માટે	1	1.00000000
.	આ	ઉદ્ઘાટન	પ્રસંગે	1	1.00000000
.	આ	કિસ્સામાં	,	1	1.00000000
.	આ	કેદીઓને	ત્રણ	1	1.00000000
.	આ	ઠેકાઓ	પરથી	1	1.00000000
.	આઇ	એચ	જી	1	1.00000000
.	આબુથી	આવતો	દારૃનો	1	1.00000000
.	આમ	આ	ભયના	1	1.00000000
.	આરોપી	કલ્પેશ	અગ્રવાલને	1	1.00000000
.	આવા	કપરા	સમયમાં	1	1.00000000
.	ઉખાણાઓ	બાળકો	અને	1	1.00000000
.	એલ	.	સી	1	1.00000000
.	એસ	.	આઇ	1	0.50000000
.	એસ	.	પી	1	0.50000000
.	કર્ક	મહિલા	વર્ગના	1	1.00000000
.	કાગદડી	નજીક	વેગનઆર	1	1.00000000
.	કાર	વીમા	પ્રદાતાઓ	1	1.00000000
.	કારણ	કે	પેટના	1	1.00000000
.	કેટલાક	જાતકો	માટે	1	1.00000000
.	કેન્દ્રીય	કર્મચારીઓને	ડીએની	1	1.00000000
.	કેન્દ્રીય	મંત્રી	જ્યોતિરાદિત્ય	1	1.00000000
.	કોર્ટે	આ	નિર્ણય	1	1.00000000
.	ખાસ	કરીને	ગામડાના	1	1.00000000
.	ખુબજ	મુશ્કેલ	હોતુ	1	1.00000000
.	ગાર્ગી	કૉલેજમાં	છેડતીનો	1	1.00000000
.	ગ્રો	અને	લોકો	1	1.00000000
.	જૂના	માણસ	તેની	1	1.00000000
.	જેને	પગલે	આખરે	1	1.00000000
.	જેને	વ્યાપક	સર્મથન	1	1.00000000
.	જોકે	,	એ	1	1.00000000
.	જ્યારે	મોરારીબાપુએ	ગાંધીજીની	1	1.00000000
.	ડી	.	વસાવા	1	1.00000000
.	તમારા	માટે	એક	1	1.00000000
.	તે	જ	વર્ષે	1	1.00000000
.	તેઓ	મેમરી	,	1	1.00000000
.	તેના	બેગ	લીધો	1	1.00000000
.	તેમજ	ત્રણ	દિવસ	1	1.00000000
.	તેમણે	કહ્યું	કે	1	1.00000000
.	તેમણે	કુલ	રૂા	1	1.00000000
.	તેમણે	તેમને	મુલાકાત	1	1.00000000
.	ત્યાં	તેને	માટે	1	1.00000000
.	ત્યારબાદ	હોસ્પિટલનું	અવલોકન	1	1.00000000
.	દબાણના	ડ્રોપની	ભરપાઈ	1	1.00000000
.	દેશના	ઝડપથી	વૃદ્ધિ	1	1.00000000
.	ધન	ખરીદવાનું	અને	1	1.00000000
.	ધારાસભ્ય	પી	.	1	1.00000000
.	નમૂનારૂપ	ઉત્તર	આમ	1	1.00000000
.	ના	પી	.	1	1.00000000
.	પછી	ખેડૂતો	ઉમળકાભેર	1	1.00000000
.	પછી	સ્ક્રિપ	થી	1	1.00000000
.	પણ	હું	ઇચ્છતી	1	1.00000000
.	પી	મહેન્દ્	બગાડીયાની	1	1.00000000
.	પુરાવા	આપવા	માટે	1	1.00000000
.	પુરું	પાડવામાં	અને	1	1.00000000
.	પ્રણવ	મુખરજીએ	હોસ્પિટલની	1	1.00000000
.	બદલામાં	,	તેમણે	1	1.00000000
.	બાળ	કેદીઓને	મુક્ત	1	1.00000000
.	બી	.	આ	1	0.50000000
.	બી	.	ના	1	0.50000000
.	ભાજપના	કાર્યકરોએ	જન	1	1.00000000
.	મિશિગનના	નો	ફોલ્ટ	1	1.00000000
.	મોરબીના	નાગડાવાસ	નજીક	1	1.00000000
.	યાત્રા	માટે	સમય	1	1.00000000
.	યુનાઇટેડ	સ્ટેટ્સ	બ્યુરો	1	1.00000000
.	રપ	ના	રોજ	1	1.00000000
.	રર	૩	ના	1	1.00000000
.	રાજપીપળા	પાલિકાના	છેલ્લા	1	1.00000000
.	રાજસ્થાનના	બિચ્છુવાડાથી	શામળાજી	1	1.00000000
.	રાજ્યના	બાળગૃહોમાં	લગભગ	1	1.00000000
.	રાષ્ટ્રપતિએ	ગાંધીજીની	પ્રતિમાનું	1	1.00000000
.	રિજેક્શનના	ભયના	કારણે	1	1.00000000
.	વલણ	ધરાવતા	તરુણો	1	1.00000000
.	વસાવા	તમારા	પક્ષના	1	1.00000000
.	વા	લેનારા	80	1	1.00000000
.	વીણાએ	કહ્યુ	હતું	1	1.00000000
.	સંમત	,	ચોરી	1	1.00000000
.	સગર્ભાવસ્થામાં	ઠંડીથી	ઇન્હેલેશન	1	1.00000000
.	સજ્જન	તેમને	જણાવ્યું	1	1.00000000
.	સદ્ગતનું	ટેલીફોનીક	બેસણુ	1	1.00000000
.	સરકાર	વિકાસના	કામો	1	1.00000000
.	સહીત	અનેક	વેધક	1	1.00000000
.	સૌથી	વધુ	લોકપ્રિય	1	1.00000000
.	હાઈકોર્ટના	નિર્દેશોના	પગલે	1	1.00000000
.	હીટિંગ	સિસ્ટમ	માટે	1	1.00000000
.	હોટ	વોટર	સપ્લાયરની	1	1.00000000
.	૧.	૯૭	કરોડોનો	1	1.00000000
.	૧૦.	૪૨	કરોડની	1	1.00000000
.	૧૫.	૬૦	કરોડના	1	1.00000000
.	૭	પ	નિવૃત	1	1.00000000
.	૮.	૪૫	કરોડની	1	1.00000000
...	આપણાં	શાસ્ત્રોમાં	ધનતેરસ	1	1.00000000
...	ઉત્તર	પ્રદેશમાં	લગભગ	1	1.00000000
10	વર્ષના	યોજનાકીય	કામની	1	1.00000000
100	લોડ	માટે	રચાયેલ	1	1.00000000
2008	માં	અપરાધ	દ્રશ્ય	1	1.00000000
23.	97	ડોલર	હતો	1	1.00000000
3	ડી	ફિલ્મમાં	કામ	1	1.00000000
30,000	બાળકો	બંધ	છે	1	1.00000000
32,000	થી	83,000	ડોલરની	1	1.00000000
359	.	બાળ	કેદીઓને	1	1.00000000
48.	જેમના	કાન	સરળતાથી	1	1.00000000
55,040	હતો	,	અથવા	1	1.00000000
80	દર્દીઓમાં	આ	સિન્ડ્રોમ	1	1.00000000
83,000	ડોલરની	વચ્ચેનો	પગાર	1	1.00000000
97	ડોલર	હતો	.	1	1.00000000
?	.	આવા	કપરા	1	1.00000000
Deep@Gmi.com	,	https://hello.com	તેવાં	1	1.00000000
https://hello.com	તેવાં	પ્રાણીઓનાં	નામ	1	1.00000000
અંકલેશ્વર	આવી	પહોંચ્યાં	હતાં	1	1.00000000
અંતે	કોઈ	વાતને	લઈને	1	1.00000000
અંદર	આત્મવિશ્વાસનો	અભાવ	દેખાવા	1	1.00000000
અંદર	એવી	લાગણી	ઉત્પન્ન	1	1.00000000
અગવડતાને	કારણે	નહીં	કરે	1	1.00000000
અગ્રવાલને	પકડવા	માટે	નર્મદા	1	1.00000000
અગ્રવાલે	ખેડુતોને	રૃપીયા	ચુકવ્યા	1	1.00000000
અટકે	કરશે	.	સંમત	1	1.00000000
અઠવાડિયાના	અંતે	કોઈ	વાતને	1	1.00000000
અઠવાડિયામાં	એક	વખત	.	1	1.00000000
અઠવાડિયે	ખર્ચો	વધારે	થશે	1	1.00000000
અથવા	કલાક	દીઠ	23.	1	1.00000000
અધ્યક્ષ	રાહુલ	ગાંધી	દ્વારા	1	1.00000000
અનરજીસ્ટર્ડ	પર્સન	પાસેથી	દર્શાવેલ	1	1.00000000
અનલોડ	છે	.	આ	1	1.00000000
અનાવરણ	કર્યું	તહું	.	1	1.00000000
અનાવરણ	કર્યું	હતું	.	1	1.00000000
અનુભવ	નવો	અને	સારો	1	1.00000000
અનુસાર	,	2008	માં	1	1.00000000
અને	અમદાવાદમાં	બૂટલેગર	સુનિલ	1	1.00000000
અને	આ	ક્ષેત્રના	લોકોનો	1	1.00000000
અને	એસ્ટેટ	આપી	ન	1	1.00000000
અને	કહ્યું	જાદુ	અને	1	1.00000000
અને	ખૂબ	જ	મેદસ્વી	1	1.00000000
અને	ગ્રેચ્યુઇટીમાં	પણ	વધારો	1	1.00000000
અને	જૂના	માણસ	ખવડાવી	1	1.00000000
અને	ડી	વાય	એસ	1	1.00000000
અને	તેઓ	એટલી	સારી	1	1.00000000
અને	તેની	પત્ની	સાથે	1	1.00000000
અને	તેને	હરાવ્યું	સુધી	1	1.00000000
અને	દાન	કરવાનું	મહત્ત્વ	1	1.00000000
અને	નેતાઓને	કરતા	ખળભળાટ	1	1.00000000
અને	પર્સ	પરત	કરવાનું	1	1.00000000
અને	પુખ્ત	વયના	લોકો	1	1.00000000
અને	બે	યુવાન	અને	1	1.00000000
અને	મેઘાલયમાં	લોકોના	જનાદેશનો	1	1.00000000
અને	રબારી	દ્વારા	મોટાપાયે	1	1.00000000
અને	રમુજી	ઉખાણાઓ	એક	1	1.00000000
અને	રાજ્યસભાના	સાંસદ	અહેમદ	1	1.00000000
અને	લોકો	સ્મિત	આપીને	1	1.00000000
અને	વજન	ઘટાડવા	માટે	1	1.00000000
અને	વડોદરા	શહેર	જિલ્લામાં	1	1.00000000
અને	વિરસિંહને	ત્યાં	ઉતારવામાં	1	1.00000000
અને	વિશ્વના	દ્રષ્ટિ	વ્યાપક	1	1.00000000
